160,uname,0xa0,struct old_utsname *,-,-,-,-,-,man/ cs/
161,sethostname,0xa1,char *name,int len,-,-,-,-,man/ cs/
162,setdomainname,0xa2,char *name,int len,-,-,-,-,man/ cs/
163,getrlimit,0xa3,unsigned int resource,struct rlimit *rlim,-,-,-,-,man/ cs/
164,setrlimit,0xa4,unsigned int resource,struct rlimit *rlim,-,-,-,-,man/ cs/
165,getrusage,0xa5,int who,struct rusage *ru,-,-,-,-,man/ cs/
166,umask,0xa6,int mask,-,-,-,-,-,man/ cs/
167,prctl,0xa7,int option,unsigned long arg2,unsigned long arg3,unsigned long arg4,unsigned long arg5,-,man/ cs/
168,getcpu,0xa8,unsigned *cpu,unsigned *node,struct getcpu_cache *cache,-,-,-,man/ cs/
169,gettimeofday,0xa9,struct timeval *tv,struct timezone *tz,-,-,-,-,man/ cs/
170,settimeofday,0xaa,struct timeval *tv,struct timezone *tz,-,-,-,-,man/ cs/
171,adjtimex,0xab,struct timex *txc_p,-,-,-,-,-,man/ cs/
172,getpid,0xac,-,-,-,-,-,-,man/ cs/
173,getppid,0xad,-,-,-,-,-,-,man/ cs/
174,getuid,0xae,-,-,-,-,-,-,man/ cs/
175,geteuid,0xaf,-,-,-,-,-,-,man/ cs/
176,getgid,0xb0,-,-,-,-,-,-,man/ cs/
177,getegid,0xb1,-,-,-,-,-,-,man/ cs/
178,gettid,0xb2,-,-,-,-,-,-,man/ cs/
179,sysinfo,0xb3,struct sysinfo *info,-,-,-,-,-,man/ cs/
180,mq_open,0xb4,const char *name,int oflag,umode_t mode,struct mq_attr *attr,-,-,man/ cs/
181,mq_unlink,0xb5,const char *name,-,-,-,-,-,man/ cs/
182,mq_timedsend,0xb6,mqd_t mqdes,const char *msg_ptr,size_t msg_len,unsigned int msg_prio,const struct __kernel_timespec *abs_timeout,-,man/ cs/
183,mq_timedreceive,0xb7,mqd_t mqdes,char *msg_ptr,size_t msg_len,unsigned int *msg_prio,const struct __kernel_timespec *abs_timeout,-,man/ cs/
184,mq_notify,0xb8,mqd_t mqdes,const struct sigevent *notification,-,-,-,-,man/ cs/
185,mq_getsetattr,0xb9,mqd_t mqdes,const struct mq_attr *mqstat,struct mq_attr *omqstat,-,-,-,man/ cs/
186,msgget,0xba,key_t key,int msgflg,-,-,-,-,man/ cs/
187,msgctl,0xbb,int msqid,int cmd,struct msqid_ds *buf,-,-,-,man/ cs/
188,msgrcv,0xbc,int msqid,struct msgbuf *msgp,size_t msgsz,long msgtyp,int msgflg,-,man/ cs/
189,msgsnd,0xbd,int msqid,struct msgbuf *msgp,size_t msgsz,int msgflg,-,-,man/ cs/
190,semget,0xbe,key_t key,int nsems,int semflg,-,-,-,man/ cs/
191,semctl,0xbf,int semid,int semnum,int cmd,unsigned long arg,-,-,man/ cs/
192,semtimedop,0xc0,int semid,struct sembuf *sops,unsigned nsops,const struct __kernel_timespec *timeout,-,-,man/ cs/
193,semop,0xc1,int semid,struct sembuf *sops,unsigned nsops,-,-,-,man/ cs/
194,shmget,0xc2,key_t key,size_t size,int flag,-,-,-,man/ cs/
195,shmctl,0xc3,int shmid,int cmd,struct shmid_ds *buf,-,-,-,man/ cs/
196,shmat,0xc4,int shmid,char *shmaddr,int shmflg,-,-,-,man/ cs/
197,shmdt,0xc5,char *shmaddr,-,-,-,-,-,man/ cs/
198,socket,0xc6,int,int,int,-,-,-,man/ cs/
199,socketpair,0xc7,int,int,int,int *,-,-,man/ cs/
200,bind,0xc8,int,struct sockaddr *,int,-,-,-,man/ cs/
201,listen,0xc9,int,int,-,-,-,-,man/ cs/
202,accept,0xca,int,struct sockaddr *,int *,-,-,-,man/ cs/
203,connect,0xcb,int,struct sockaddr *,int,-,-,-,man/ cs/
204,getsockname,0xcc,int,struct sockaddr *,int *,-,-,-,man/ cs/
205,getpeername,0xcd,int,struct sockaddr *,int *,-,-,-,man/ cs/
206,sendto,0xce,int,void *,size_t,unsigned,struct sockaddr *,int,man/ cs/
207,recvfrom,0xcf,int,void *,size_t,unsigned,struct sockaddr *,int *,man/ cs/
208,setsockopt,0xd0,int fd,int level,int optname,char *optval,int optlen,-,man/ cs/
209,getsockopt,0xd1,int fd,int level,int optname,char *optval,int *optlen,-,man/ cs/
210,shutdown,0xd2,int,int,-,-,-,-,man/ cs/
211,sendmsg,0xd3,int fd,struct user_msghdr *msg,unsigned flags,-,-,-,man/ cs/
212,recvmsg,0xd4,int fd,struct user_msghdr *msg,unsigned flags,-,-,-,man/ cs/
213,readahead,0xd5,int fd,loff_t offset,size_t count,-,-,-,man/ cs/
214,brk,0xd6,unsigned long brk,-,-,-,-,-,man/ cs/
215,munmap,0xd7,unsigned long addr,size_t len,-,-,-,-,man/ cs/
216,mremap,0xd8,unsigned long addr,unsigned long old_len,unsigned long new_len,unsigned long flags,unsigned long new_addr,-,man/ cs/
217,add_key,0xd9,const char *_type,const char *_description,const void *_payload,size_t plen,key_serial_t destringid,-,man/ cs/
218,request_key,0xda,const char *_type,const char *_description,const char *_callout_info,key_serial_t destringid,-,-,man/ cs/
219,keyctl,0xdb,int cmd,unsigned long arg2,unsigned long arg3,unsigned long arg4,unsigned long arg5,-,man/ cs/
220,clone,0xdc,unsigned long,unsigned long,int *,int *,unsigned long,-,man/ cs/
221,execve,0xdd,const char *filename,const char *const *argv,const char *const *envp,-,-,-,man/ cs/
222,mmap,0xde,?,?,?,?,?,?,man/ cs/
223,fadvise64,0xdf,int fd,loff_t offset,size_t len,int advice,-,-,man/ cs/
224,swapon,0xe0,const char *specialfile,int swap_flags,-,-,-,-,man/ cs/
225,swapoff,0xe1,const char *specialfile,-,-,-,-,-,man/ cs/
226,mprotect,0xe2,unsigned long start,size_t len,unsigned long prot,-,-,-,man/ cs/
227,msync,0xe3,unsigned long start,size_t len,int flags,-,-,-,man/ cs/
228,mlock,0xe4,unsigned long start,size_t len,-,-,-,-,man/ cs/
229,munlock,0xe5,unsigned long start,size_t len,-,-,-,-,man/ cs/
230,mlockall,0xe6,int flags,-,-,-,-,-,man/ cs/
231,munlockall,0xe7,-,-,-,-,-,-,man/ cs/
232,mincore,0xe8,unsigned long start,size_t len,unsigned char * vec,-,-,-,man/ cs/
233,madvise,0xe9,unsigned long start,size_t len,int behavior,-,-,-,man/ cs/
234,remap_file_pages,0xea,unsigned long start,unsigned long size,unsigned long prot,unsigned long pgoff,unsigned long flags,-,man/ cs/
235,mbind,0xeb,unsigned long start,unsigned long len,unsigned long mode,const unsigned long *nmask,unsigned long maxnode,unsigned flags,man/ cs/
236,get_mempolicy,0xec,int *policy,unsigned long *nmask,unsigned long maxnode,unsigned long addr,unsigned long flags,-,man/ cs/
237,set_mempolicy,0xed,int mode,const unsigned long *nmask,unsigned long maxnode,-,-,-,man/ cs/
238,migrate_pages,0xee,pid_t pid,unsigned long maxnode,const unsigned long *from,const unsigned long *to,-,-,man/ cs/
239,move_pages,0xef,pid_t pid,unsigned long nr_pages,const void * *pages,const int *nodes,int *status,int flags,man/ cs/
240,rt_tgsigqueueinfo,0xf0,pid_t tgid,pid_t pid,int sig,siginfo_t *uinfo,-,-,man/ cs/
241,perf_event_open,0xf1,struct perf_event_attr *attr_uptr,pid_t pid,int cpu,int group_fd,unsigned long flags,-,man/ cs/
242,accept4,0xf2,int,struct sockaddr *,int *,int,-,-,man/ cs/
243,recvmmsg,0xf3,int fd,struct mmsghdr *msg,unsigned int vlen,unsigned flags,struct timespec *timeout,-,man/ cs/
244,not implemented,0xf4,-,-,-,-,-,-,-
245,not implemented,0xf5,-,-,-,-,-,-,-
246,not implemented,0xf6,-,-,-,-,-,-,-
247,not implemented,0xf7,-,-,-,-,-,-,-
248,not implemented,0xf8,-,-,-,-,-,-,-
249,not implemented,0xf9,-,-,-,-,-,-,-
250,not implemented,0xfa,-,-,-,-,-,-,-
251,not implemented,0xfb,-,-,-,-,-,-,-
252,not implemented,0xfc,-,-,-,-,-,-,-
253,not implemented,0xfd,-,-,-,-,-,-,-
254,not implemented,0xfe,-,-,-,-,-,-,-
255,not implemented,0xff,-,-,-,-,-,-,-
256,not implemented,0x100,-,-,-,-,-,-,-
257,not implemented,0x101,-,-,-,-,-,-,-
258,not implemented,0x102,-,-,-,-,-,-,-
259,not implemented,0x103,-,-,-,-,-,-,-
260,wait4,0x104,pid_t pid,int *stat_addr,int options,struct rusage *ru,-,-,man/ cs/
261,prlimit64,0x105,pid_t pid,unsigned int resource,const struct rlimit64 *new_rlim,struct rlimit64 *old_rlim,-,-,man/ cs/
262,fanotify_init,0x106,unsigned int flags,unsigned int event_f_flags,-,-,-,-,man/ cs/
263,fanotify_mark,0x107,int fanotify_fd,unsigned int flags,u64 mask,int fd,const char *pathname,-,man/ cs/
264,name_to_handle_at,0x108,int dfd,const char *name,struct file_handle *handle,int *mnt_id,int flag,-,man/ cs/
265,open_by_handle_at,0x109,int mountdirfd,struct file_handle *handle,int flags,-,-,-,man/ cs/
266,clock_adjtime,0x10a,clockid_t which_clock,struct timex *tx,-,-,-,-,man/ cs/
267,syncfs,0x10b,int fd,-,-,-,-,-,man/ cs/
268,setns,0x10c,int fd,int nstype,-,-,-,-,man/ cs/
269,sendmmsg,0x10d,int fd,struct mmsghdr *msg,unsigned int vlen,unsigned flags,-,-,man/ cs/
270,process_vm_readv,0x10e,pid_t pid,const struct iovec *lvec,unsigned long liovcnt,const struct iovec *rvec,unsigned long riovcnt,unsigned long flags,man/ cs/
271,process_vm_writev,0x10f,pid_t pid,const struct iovec *lvec,unsigned long liovcnt,const struct iovec *rvec,unsigned long riovcnt,unsigned long flags,man/ cs/
272,kcmp,0x110,pid_t pid1,pid_t pid2,int type,unsigned long idx1,unsigned long idx2,-,man/ cs/
273,finit_module,0x111,int fd,const char *uargs,int flags,-,-,-,man/ cs/
274,sched_setattr,0x112,pid_t pid,struct sched_attr *attr,unsigned int flags,-,-,-,man/ cs/
275,sched_getattr,0x113,pid_t pid,struct sched_attr *attr,unsigned int size,unsigned int flags,-,-,man/ cs/
